user_name,rating,date,category,text,quote
Марина,4,reliability,Счётчик шагов иногда врут,"Счётчик шагов иногда врут — показывает 2000, когда я прошла от силы 500"
Денис,2,performance,Приложение жутко тормозит,"Приложение жутко тормозит. Чтобы открыть дневник питания, нужно ждать по 10 секунд"
Денис,2,ads,Постоянные предложения купить премиум,"И ещё эти постоянные предложения купить премиум. Я уже купил, чего вы меня донимаете?"
Иван,1,reliability,После обновления перестал синхронизироваться с браслетом,После обновления перестал синхронизироваться с браслетом
Иван,1,support,Поддержка молчит,поддержка молчит
Иван,1,price,Верните деньги за подписку,Верните деньги за подписку!
Ольга,3,design,Тренировки однотипные,"Тренировки однотипные, через месяц надоедают"
Ольга,3,support,Бот в поддержке отвечает шаблонно,"И ещё этот бот в поддержке — бесит, на любой вопрос отвечает «заполните форму на сайте»"
Анна,2,performance,Приложение начало вылетать при открытии дневника калорий,через месяц приложение начало вылетать при открытии дневника калорий
Анна,2,support,"Поддержка ответила через пять дней, совет не помог","Поддержка ответила через пять дней, сказали переустановить. Не помогло"
Анна,2,price,Обидно за деньги,Обидно за деньги
Павел,4,design,"Некоторые упражнения странные, можно травму получить","Минус — некоторые упражнения странные, с ними можно травму получить"
Виктор,1,support,Техподдержка не отвечает две недели,"Написал в техподдержку, что списали двойную оплату за премиум — тишина уже две недели"
Виктор,1,price,Списали двойную оплату,списали двойную оплату за премиум
Юлия,4,ads,"Реклама бесит, баннер на полэкрана",реклама бесит. Не премиум — так баннер на полэкрана и закрыть нельзя
Юлия,4,price,Дороговато для такой простой программы,"Купила премиум — всё ок, но дороговато для такой простой программы"
Андрей,3,price,За 699 в месяц — перебор,здесь за 699 в месяц — перебор
Андрей,3,support,Чат с тренером — просто бот,"чат с тренером — просто бот, который шлёт заготовки"
Максим,2,performance,Стабильно зависает в пятницу вечером,Стабильно зависает в пятницу вечером
Максим,2,reliability,"Не грузится, возможно сервера не выдерживают","а тут — бац, не грузится. Может, сервера у них не выдерживают"
Светлана,4,design,База продуктов российских мало,база продуктов российских мало — приходится самой всё вручную вбивать
Дмитрий,1,price,"Дважды оплатил подписку, доступ не открылся","Дважды оплатил подписку через гугл, деньги списали, а доступ не открылся"
Дмитрий,1,support,Поддержка просто говорит ждать,Поддержка в ответ — просто «подождите 24 часа». Прошла неделя
Роман,3,design,"Интерфейс перегружен, куча ненужных фишек","Интерфейс перегружен, куча ненужных фишек"
